removed_group,removed_feature_count,directional_accuracy,directional_accuracy_delta,strategy_cagr,strategy_cagr_delta,rmse_return,rmse_delta
returns_and_volatility,4,0.4974293059125964,-0.007069408740359884,0.07881682226580478,0.03878145187173665,0.010713012080738132,6.531272271757815e-06
derivatives,5,0.493573264781491,-0.010925449871465265,0.04923049738153962,0.009195126987471491,0.010562764571426096,-0.00014371623704027836
trend_range_and_volume,7,0.5,-0.004498714652956259,-0.0005658410443610817,-0.04060121143842921,0.01064207217910339,-6.440862936298378e-05
macro_credit_cross_asset,8,0.5057840616966581,0.0012853470437018677,0.09486401309988857,0.05482864270582044,0.010630203953226438,-7.627685523993628e-05
