date,origin_date,actual_close,predicted_close,actual_return,predicted_return,origin_return_1d,entry_threshold,exit_threshold,signal,position,velocity,acceleration,jerk,opposite_velocity,strategy_return,benchmark_equity,strategy_equity,residual
2020-07-10,2020-07-09,3185.04,3158.273552975784,0.010411813000986925,0.001972499489573298,-0.005659625451288619,0.0,0.0,ENTER,1.0,-0.3430700699093299,-0.8052883507029311,-1.9100573649945343,0.3430700699093299,0.010211813000986924,1.0047634971008914,1.0102641315006282,0.008439313511413627
2020-07-13,2020-07-10,3155.22,3170.839341056051,-0.009406623666484037,-0.004468518614475062,0.010411813000986925,0.0,0.0,EXIT,0.0,0.6415451189894563,0.9846151888987862,1.7899035396017173,-0.6415451189894563,-0.0002,0.9953563789850904,1.0100620988782636,-0.004938105052008975
2020-07-14,2020-07-13,3197.52,3174.756958530362,0.013317285189446082,0.006172856771812438,-0.009406623666484037,0.0,0.0,ENTER,1.0,-0.577395808920181,-1.2189409279096375,-2.2035561168084237,0.577395808920181,0.013117285189446081,1.00870048013527,1.0233986499332262,0.007144428417633644
2020-07-15,2020-07-14,3226.56,3177.4944081047556,0.009041044884783744,-0.006282545099152661,0.013317285189446082,0.0,0.0,EXIT,0.0,0.8300534789841264,1.4074492879043075,2.626390215813945,-0.8300534789841264,-0.0002,1.0178615368114208,1.023193990669848,0.015323589983936407
2020-07-24,2020-07-23,3215.63,3238.9292509428506,-0.006209630744304917,0.001009871389205992,-0.012396345287241317,0.0,0.0,ENTER,1.0,-0.8273485297112747,-1.2120911821020737,-1.4848021496155601,0.8273485297112747,-0.006409630744304917,1.0144135220224981,1.0166566683023308,-0.007219502133510909
2020-07-27,2020-07-24,3239.41,3210.1077741486383,0.007367919510066656,-0.0017187838672989082,-0.006209630744304917,0.0,0.0,EXIT,0.0,-0.4230739215994591,0.4042746081118156,1.6163657902138893,0.4230739215994591,-0.0002,1.0219152412979418,1.0164533573004482,0.009086703377365564
2020-08-12,2020-08-11,3380.35,3339.6048432787984,0.013899455827980134,0.0017726909919685097,-0.00800104654322098,0.0,0.0,ENTER,1.0,-0.5953264389422022,-0.8001596544590898,-0.9578282810940153,0.5953264389422022,0.013699455827980133,1.0663766506621577,1.030474033711618,0.012126764836011624
2020-08-13,2020-08-12,3373.43,3366.561854206113,-0.0020492235227109745,-0.004087252149369066,0.013899455827980134,0.0,0.0,EXIT,0.0,1.0692384624838611,1.6645649014260633,2.464724555885153,-1.0692384624838611,-0.0002,1.0641936440437354,1.0302679595129824,0.0020380286266580916
2020-09-04,2020-09-03,3426.96,3472.5280318637083,-0.008166252396865303,0.005043044939846348,-0.035757586556313115,0.0,0.0,ENTER,1.0,-2.741282494214913,-3.9976088707550956,-4.632871735649507,2.741282494214913,-0.008366252396865304,1.0810803989980882,1.0216844337650692,-0.013209297336711652
2020-09-08,2020-09-04,3331.84,3395.78397429305,-0.028148866864059485,-0.0091389161922845,-0.008166252396865303,0.0,0.0,EXIT,0.0,-0.7947894989342414,1.9464929952806715,5.944101866035767,0.7947894989342414,-0.0002,1.051073521896312,1.0214801173106427,-0.019009950671774987
